2025-09-08 16:47:18 JST - INFO - 損失: Conv=34.180, Seq=50.463, Dist=0.023, 総計=84.666
2025-09-08 16:47:19 JST - INFO - 損失: Conv=41.918, Seq=62.403, Dist=0.029, 総計=104.350
2025-09-08 16:47:19 JST - INFO - 損失: Conv=36.281, Seq=51.946, Dist=0.035, 総計=88.262
2025-09-08 16:47:20 JST - INFO - 損失: Conv=31.858, Seq=46.589, Dist=0.014, 総計=78.460
2025-09-08 16:47:20 JST - INFO - 損失: Conv=35.807, Seq=50.088, Dist=0.011, 総計=85.907
2025-09-08 16:47:20 JST - INFO - 損失: Conv=32.829, Seq=48.601, Dist=0.027, 総計=81.457
2025-09-08 16:47:21 JST - INFO - 損失: Conv=38.374, Seq=57.120, Dist=0.013, 総計=95.507
2025-09-08 16:47:21 JST - INFO - 損失: Conv=38.165, Seq=57.825, Dist=0.018, 総計=96.008
2025-09-08 16:47:22 JST - INFO - 損失: Conv=35.879, Seq=54.288, Dist=0.015, 総計=90.182
2025-09-08 16:47:22 JST - INFO - 損失: Conv=32.413, Seq=45.817, Dist=0.013, 総計=78.242
2025-09-08 16:47:23 JST - INFO - 損失: Conv=32.934, Seq=49.799, Dist=0.026, 総計=82.759
2025-09-08 16:47:23 JST - INFO - 損失: Conv=29.962, Seq=44.351, Dist=0.030, 総計=74.343
2025-09-08 16:47:23 JST - INFO - 損失: Conv=35.605, Seq=53.245, Dist=0.027, 総計=88.878
2025-09-08 16:47:24 JST - INFO - 損失: Conv=38.099, Seq=57.080, Dist=0.029, 総計=95.208
2025-09-08 16:47:24 JST - INFO - 損失: Conv=29.922, Seq=44.904, Dist=0.017, 総計=74.843
2025-09-08 16:47:25 JST - INFO - 損失: Conv=29.549, Seq=44.125, Dist=0.021, 総計=73.695
2025-09-08 16:47:25 JST - INFO - 損失: Conv=34.144, Seq=50.328, Dist=0.027, 総計=84.499
2025-09-08 16:47:25 JST - INFO - 損失: Conv=41.120, Seq=61.774, Dist=0.022, 総計=102.916
2025-09-08 16:47:26 JST - INFO - 損失: Conv=32.604, Seq=49.398, Dist=0.017, 総計=82.019
2025-09-08 16:47:26 JST - INFO - 損失: Conv=34.996, Seq=50.876, Dist=0.027, 総計=85.900
2025-09-08 16:47:27 JST - INFO - 損失: Conv=41.445, Seq=56.351, Dist=0.041, 総計=97.837
2025-09-08 16:47:27 JST - INFO - 損失: Conv=29.057, Seq=43.262, Dist=0.019, 総計=72.338
2025-09-08 16:47:27 JST - INFO - 損失: Conv=32.493, Seq=48.398, Dist=0.020, 総計=80.911
2025-09-08 16:47:28 JST - INFO - 損失: Conv=36.318, Seq=54.528, Dist=0.017, 総計=90.862
2025-09-08 16:47:28 JST - INFO - 損失: Conv=29.557, Seq=43.207, Dist=0.033, 総計=72.796
